marker,id,eda_avg,eda_increase,scr_avg,scr_increase,scl_avg,scl_increase,start
physical,dab3nu,13.334719012605042,0.001447071184659832,-0.07380597047617139,0.001540599088427279,13.408524983081213,8.727379622672564e-5,00:40:17
baseline,diang,4.205292613636363,4.2107982433479785e-5,-0.14376048031548977,2.6793372663412146e-4,4.349053093951853,0,00:12:55
cognitive1,diang,4.65865234375,1.1785772423897186e-4,-0.11008135786942601,3.011397851969519e-4,4.768733701619426,2.344976159166297e-5,00:21:07
cognitive2,diang,4.124935737179487,1.3127103702516364e-4,-0.04021925314218506,2.463780452265879e-4,4.165154990321672,6.0145133785563195e-5,00:24:41
physical,diang,6.6076218749999995,7.514977858817426e-4,-0.14357198359832288,8.178077578452945e-4,6.751193858598323,2.1732368211811886e-4,00:45:52
baseline,david,5.550635330578512,0.0031048824593128384,0.05153997388754791,0.0027923698452628236,5.499095356690964,8.158267575038166e-4,00:14:38
cognitive1,david,5.917915412303665,0.0025398461790214375,-0.09754012284903636,0.0025878373830970146,6.015455535152701,2.642870537278468e-4,00:21:35
cognitive2,david,6.1465735576923075,0.0027506010578618365,0.037612387244773435,0.0026293573664565436,6.108961170447534,4.916752143990372e-4,00:25:17
physical,david,5.592615625,0.0021471737431622813,-0.035720033516735195,0.0021256830710761508,5.628335658516735,3.856280605606807e-4,00:41:12
baseline,elfelejtettem,14.01174453125,0.002129460797082575,3.509088951882573e-4,0.001993974414984708,14.011393622354811,6.324220427880677e-4,00:15:27
cognitive1,elfelejtettem,15.156749028497408,0.0026911740890688284,-0.028765584380492835,0.0026748653430065323,15.185514612877903,4.032768221297116e-4,00:23:37
cognitive2,elfelejtettem,15.39067451923077,0.0025457605385478437,-0.06722891958571306,0.0025411475610937822,15.457903438816482,3.2734736810249924e-4,00:27:13
physical,elfelejtettem,15.7313609375,0.003021359729096122,-0.11327609856425612,0.0029827392183515563,15.844637036064256,4.594072137341865e-4,00:43:07
baseline,enigma,2.888250787815126,2.9498292618859956e-4,-0.03895472725192741,3.702782467020159e-4,2.9272055150670533,3.219986230842658e-5,00:14:24
physical,enigma,4.5825921874999995,6.168272987757213e-4,-0.02773039414245829,6.455098445478199e-4,4.610322581642458,1.1856221315498846e-4,00:21:04
cognitive1,enigma,6.43589023241206,8.468666561960115e-4,-0.009997921291050515,8.461917515434139e-4,6.445888153703111,1.4014116694246936e-4,00:39:50
cognitive2,enigma,6.696660737179487,9.881391248597537e-4,-0.029898584536698858,0.0010125208291902378,6.726559321716186,1.3038150357799226e-4,00:45:03
baseline,ff kut,7.3080203125,1.9744725188851242e-4,-0.0710273859072425,3.615552457764883e-4,7.379047698407242,1.1329233384666861e-4,00:16:00
physical,ff kut,16.446954306722688,0.002241660099816134,-0.10209037914839952,0.002286681213654714,16.54904468587109,2.475750778557097e-4,00:22:14
cognitive1,ff kut,15.96662289507772,3.9821862348178274e-4,-0.1353191298615259,5.798391135638816e-4,16.101942024939245,2.3728015994056926e-5,00:39:13
cognitive2,ff kut,15.830287627551021,3.5544570243979987e-4,-0.17832074254904431,5.801037890814209e-4,16.008608370100063,1.3916269346744481e-5,00:43:47
baseline,flowman,2.655406512605042,3.4252692408720737e-4,-0.01977271034060161,3.90639316009733e-4,2.6751792229456437,4.6761454085004076e-5,00:16:05
cognitive1,flowman,3.3622219883419686,5.102834008097165e-4,0.0023771255181138135,5.149750055852146e-4,3.359844862823855,1.1425471406764119e-4,00:26:34
cognitive2,flowman,3.569603846153846,4.176951434524759e-4,-6.259263932307745e-4,4.4591859326368054e-4,3.570229772547077,1.323980625779413e-4,00:30:23
